date,region,resident,nonresident,total
2020-11-10,Anchorage,226,2,228
2020-11-11,Anchorage,280,0,280
2020-11-12,Anchorage,245,1,246
2020-11-13,Anchorage,482,2,484
2020-11-14,Anchorage,365,5,370
2020-11-15,Anchorage,391,6,397
2020-11-16,Anchorage,488,3,491
2020-11-17,Anchorage,287,0,287
2020-11-18,Anchorage,265,3,268
2020-11-19,Anchorage,250,1,251
2020-11-20,Anchorage,325,3,328
2020-11-21,Anchorage,298,5,303
2020-11-22,Anchorage,298,2,300
2020-11-23,Anchorage,375,1,376
2020-11-24,Anchorage,406,4,410
2020-11-25,Anchorage,254,2,256
2020-11-26,Anchorage,145,9,154
2020-11-27,Anchorage,290,6,296
2020-11-28,Anchorage,244,2,246
2020-11-29,Anchorage,192,0,192
2020-11-30,Anchorage,183,1,184
2020-12-01,Anchorage,240,1,241
2020-12-02,Anchorage,320,0,320
2020-12-03,Anchorage,262,0,262
2020-12-04,Anchorage,321,6,327
2020-12-05,Anchorage,338,2,340
2020-12-06,Anchorage,275,1,276
2020-12-07,Anchorage,230,3,233
2020-12-08,Anchorage,213,1,214
2020-12-09,Anchorage,250,2,252
2020-12-10,Anchorage,265,0,265
2020-12-11,Anchorage,228,1,229
2020-12-12,Anchorage,303,4,307
2020-12-13,Anchorage,209,4,213
2020-12-14,Anchorage,130,7,137
2020-12-15,Anchorage,269,3,272
2020-12-16,Anchorage,177,0,177
2020-12-17,Anchorage,200,1,201
2020-12-18,Anchorage,145,3,148
2020-12-19,Anchorage,110,3,113
2020-12-20,Anchorage,89,1,90
2020-12-21,Anchorage,206,3,209
2020-12-22,Anchorage,160,0,160
2020-12-23,Anchorage,111,4,115
2020-12-24,Anchorage,59,1,60
2020-12-25,Anchorage,80,0,80
2020-12-26,Anchorage,105,10,115
2020-12-27,Anchorage,69,2,71
2020-12-28,Anchorage,99,4,103
2020-12-29,Anchorage,145,3,148
2020-12-30,Anchorage,148,1,149
2020-12-31,Anchorage,215,4,219
2021-01-01,Anchorage,112,0,112
2021-01-02,Anchorage,45,1,46
2021-01-03,Anchorage,83,2,85
2021-01-04,Anchorage,64,0,64
2021-01-05,Anchorage,132,1,133
2021-01-06,Anchorage,151,2,153
2021-01-07,Anchorage,132,4,136
2021-01-08,Anchorage,142,0,142
2021-01-09,Anchorage,90,4,94
2021-01-10,Anchorage,64,1,65
2021-01-11,Anchorage,35,1,36
2021-01-12,Anchorage,94,1,95
2021-01-13,Anchorage,124,3,127
2021-01-14,Anchorage,84,3,87
2021-01-15,Anchorage,66,0,66
2021-01-16,Anchorage,64,2,66
2021-01-17,Anchorage,51,2,53
2021-01-18,Anchorage,30,2,32
2021-01-19,Anchorage,55,3,58
2021-01-20,Anchorage,51,0,51
2021-01-21,Anchorage,109,2,111
2021-01-22,Anchorage,72,1,73
2021-01-23,Anchorage,50,0,50
2021-01-24,Anchorage,53,0,53
2021-01-25,Anchorage,23,0,23
2021-01-26,Anchorage,66,3,69
2021-01-27,Anchorage,45,1,46
2021-01-28,Anchorage,74,1,75
2021-01-29,Anchorage,52,1,53
2021-01-30,Anchorage,43,2,45
2021-01-31,Anchorage,27,0,27
2021-02-01,Anchorage,61,2,63
2021-02-02,Anchorage,50,20,70
2021-02-03,Anchorage,33,0,33
2021-02-04,Anchorage,44,2,46
2021-02-05,Anchorage,37,2,39
2021-02-06,Anchorage,55,6,61
2021-02-07,Anchorage,23,0,23
2021-02-08,Anchorage,38,2,40
2021-02-09,Anchorage,51,2,53
2021-02-10,Anchorage,70,0,70
2021-02-11,Anchorage,53,0,53
2021-02-12,Anchorage,37,0,37
2021-02-13,Anchorage,65,0,65
2021-02-14,Anchorage,27,0,27
2021-02-15,Anchorage,21,1,22
2021-02-16,Anchorage,10,1,11
2021-02-17,Anchorage,59,0,59
2021-02-18,Anchorage,65,1,66
2021-02-19,Anchorage,36,1,37
2021-02-20,Anchorage,32,1,33
2021-02-21,Anchorage,19,2,21
2021-02-22,Anchorage,19,0,19
2021-02-23,Anchorage,57,0,57
2021-02-24,Anchorage,38,1,39
2021-02-25,Anchorage,39,1,40
2020-03-16,Gulf Coast,0,0,0
2020-03-17,Gulf Coast,0,0,0
2020-03-18,Gulf Coast,1,0,1
2020-03-19,Gulf Coast,0,0,0
2020-03-20,Gulf Coast,0,0,0
2020-03-21,Gulf Coast,2,0,2
2020-03-22,Gulf Coast,0,0,0
2020-03-23,Gulf Coast,1,0,1
2020-03-24,Gulf Coast,0,0,0
2020-03-25,Gulf Coast,1,0,1
2020-03-26,Gulf Coast,0,0,0
2020-03-27,Gulf Coast,0,0,0
2020-03-28,Gulf Coast,2,0,2
2020-03-29,Gulf Coast,1,0,1
2020-03-30,Gulf Coast,0,0,0
2020-03-31,Gulf Coast,1,0,1
2020-04-01,Gulf Coast,0,0,0
2020-04-02,Gulf Coast,2,0,2
2020-04-03,Gulf Coast,0,0,0
2020-04-04,Gulf Coast,1,0,1
2020-04-05,Gulf Coast,1,0,1
2020-04-06,Gulf Coast,0,0,0
2020-04-07,Gulf Coast,0,0,0
2020-04-08,Gulf Coast,1,0,1
2020-04-09,Gulf Coast,1,0,1
2020-04-10,Gulf Coast,0,0,0
2020-04-11,Gulf Coast,0,0,0
2020-04-12,Gulf Coast,0,0,0
2020-04-13,Gulf Coast,0,0,0
2020-04-14,Gulf Coast,1,0,1
2020-04-15,Gulf Coast,1,0,1
2020-04-16,Gulf Coast,1,0,1
2020-04-17,Gulf Coast,2,0,2
2020-04-18,Gulf Coast,0,0,0
2020-04-19,Gulf Coast,0,0,0
2020-04-20,Gulf Coast,0,0,0
2020-04-21,Gulf Coast,0,0,0
2020-04-22,Gulf Coast,0,0,0
2020-04-23,Gulf Coast,0,0,0
2020-04-25,Gulf Coast,0,0,0
2020-04-26,Gulf Coast,0,0,0
2020-04-27,Gulf Coast,0,0,0
2020-04-28,Gulf Coast,0,0,0
2020-04-30,Gulf Coast,2,0,2
2020-05-01,Gulf Coast,0,0,0
2020-05-02,Gulf Coast,1,0,1
2020-05-03,Gulf Coast,0,0,0
2020-05-04,Gulf Coast,0,0,0
2020-05-05,Gulf Coast,0,0,0
2020-05-06,Gulf Coast,1,1,2
2020-05-07,Gulf Coast,0,0,0
2020-05-08,Gulf Coast,1,0,1
2020-05-09,Gulf Coast,0,0,0
2020-05-10,Gulf Coast,1,0,1
2020-05-11,Gulf Coast,0,0,0
2020-05-12,Gulf Coast,0,0,0
2020-05-13,Gulf Coast,0,0,0
2020-05-14,Gulf Coast,0,0,0
2020-05-15,Gulf Coast,1,0,1
2020-05-16,Gulf Coast,1,0,1
2020-05-17,Gulf Coast,0,0,0
2020-05-19,Gulf Coast,0,0,0
2020-05-21,Gulf Coast,0,0,0
2020-05-22,Gulf Coast,0,1,1
2020-05-24,Gulf Coast,1,2,3
2020-05-25,Gulf Coast,0,0,0
2020-05-26,Gulf Coast,0,0,0
2020-05-27,Gulf Coast,7,0,7
2020-05-28,Gulf Coast,2,1,3
2020-05-29,Gulf Coast,1,1,2
2020-05-30,Gulf Coast,8,0,8
2020-05-31,Gulf Coast,4,0,4
2020-06-01,Gulf Coast,5,1,6
2020-06-02,Gulf Coast,6,0,6
2020-06-03,Gulf Coast,3,13,16
2020-06-04,Gulf Coast,5,0,5
2020-06-05,Gulf Coast,10,0,10
2020-06-06,Gulf Coast,1,0,1
2020-06-07,Gulf Coast,4,1,5
2020-06-08,Gulf Coast,2,0,2
2020-06-09,Gulf Coast,9,1,10
2020-06-10,Gulf Coast,4,0,4
2020-06-11,Gulf Coast,5,0,5
2020-06-12,Gulf Coast,6,1,7
2020-06-13,Gulf Coast,1,0,1
2020-06-14,Gulf Coast,1,0,1
2020-06-15,Gulf Coast,4,0,4
2020-06-16,Gulf Coast,3,0,3
2020-06-17,Gulf Coast,1,0,1
2020-06-18,Gulf Coast,1,2,3
2020-06-19,Gulf Coast,2,0,2
2020-06-20,Gulf Coast,1,0,1
2020-06-21,Gulf Coast,0,0,0
2020-06-22,Gulf Coast,1,2,3
2020-06-23,Gulf Coast,0,1,1
2020-06-24,Gulf Coast,6,2,8
2020-06-25,Gulf Coast,2,0,2
2020-06-26,Gulf Coast,2,1,3
2020-06-27,Gulf Coast,4,0,4
2020-06-28,Gulf Coast,8,2,10
2020-06-29,Gulf Coast,6,3,9
2020-06-30,Gulf Coast,5,0,5
2020-07-01,Gulf Coast,4,5,9
2020-07-02,Gulf Coast,4,3,7
2020-07-03,Gulf Coast,1,2,3
2020-07-04,Gulf Coast,2,1,3
2020-07-05,Gulf Coast,2,0,2
2020-07-06,Gulf Coast,2,1,3
2020-07-07,Gulf Coast,10,1,11
2020-07-08,Gulf Coast,7,1,8
2020-07-09,Gulf Coast,6,0,6
2020-07-10,Gulf Coast,3,0,3
2020-07-11,Gulf Coast,11,14,25
2020-07-12,Gulf Coast,4,1,5
2020-07-13,Gulf Coast,8,2,10
2020-07-14,Gulf Coast,3,0,3
2020-07-15,Gulf Coast,13,3,16
2020-07-16,Gulf Coast,5,4,9
2020-07-17,Gulf Coast,10,0,10
2020-07-18,Gulf Coast,5,0,5
2020-07-19,Gulf Coast,6,3,9
2020-07-20,Gulf Coast,7,3,10
2020-07-21,Gulf Coast,17,8,25
2020-07-22,Gulf Coast,5,10,15
2020-07-23,Gulf Coast,9,6,15
2020-07-24,Gulf Coast,14,25,39
2020-07-25,Gulf Coast,1,38,39
2020-07-26,Gulf Coast,4,8,12
2020-07-27,Gulf Coast,8,5,13
2020-07-28,Gulf Coast,6,15,21
2020-07-29,Gulf Coast,6,25,31
2020-07-30,Gulf Coast,3,2,5
2020-07-31,Gulf Coast,9,1,10
2020-08-01,Gulf Coast,6,3,9
2020-08-02,Gulf Coast,0,12,12
2020-08-03,Gulf Coast,1,2,3
2020-08-04,Gulf Coast,3,0,3
2020-08-05,Gulf Coast,3,2,5
2020-08-06,Gulf Coast,5,10,15
2020-08-07,Gulf Coast,5,1,6
2020-08-08,Gulf Coast,6,1,7
2020-08-09,Gulf Coast,9,0,9
2020-08-10,Gulf Coast,8,0,8
2020-08-11,Gulf Coast,9,0,9
2020-08-12,Gulf Coast,7,12,19
2020-08-13,Gulf Coast,2,0,2
2020-08-14,Gulf Coast,3,0,3
2020-08-15,Gulf Coast,17,0,17
2020-08-16,Gulf Coast,1,0,1
2020-08-17,Gulf Coast,16,3,19
2020-08-18,Gulf Coast,4,0,4
2020-08-19,Gulf Coast,5,0,5
2020-08-20,Gulf Coast,8,0,8
2020-08-21,Gulf Coast,9,0,9
2020-08-22,Gulf Coast,4,0,4
2020-08-23,Gulf Coast,3,0,3
2020-08-24,Gulf Coast,1,0,1
2020-08-25,Gulf Coast,3,0,3
2020-08-26,Gulf Coast,3,0,3
2020-08-27,Gulf Coast,1,0,1
2020-08-28,Gulf Coast,2,0,2
2020-08-29,Gulf Coast,3,0,3
2020-08-30,Gulf Coast,0,0,0
2020-08-31,Gulf Coast,3,0,3
2020-09-01,Gulf Coast,3,0,3
2020-09-02,Gulf Coast,5,1,6
2020-09-03,Gulf Coast,2,0,2
2020-09-04,Gulf Coast,1,0,1
2020-09-05,Gulf Coast,4,1,5
2020-09-06,Gulf Coast,1,0,1
2020-09-07,Gulf Coast,1,0,1
2020-09-08,Gulf Coast,3,0,3
2020-09-09,Gulf Coast,1,0,1
2020-09-10,Gulf Coast,1,0,1
2020-09-11,Gulf Coast,0,0,0
2020-09-12,Gulf Coast,0,0,0
2020-09-13,Gulf Coast,0,0,0
2020-09-14,Gulf Coast,1,0,1
2020-09-15,Gulf Coast,3,0,3
2020-09-16,Gulf Coast,3,0,3
2020-09-17,Gulf Coast,2,0,2
2020-09-18,Gulf Coast,2,0,2
2020-09-19,Gulf Coast,1,0,1
2020-09-20,Gulf Coast,1,0,1
2020-09-21,Gulf Coast,1,0,1
2020-09-22,Gulf Coast,5,0,5
2020-09-23,Gulf Coast,2,0,2
2020-09-24,Gulf Coast,1,0,1
2020-09-25,Gulf Coast,5,0,5
2020-09-26,Gulf Coast,3,1,4
2020-09-27,Gulf Coast,0,0,0
2020-09-28,Gulf Coast,5,0,5
2020-09-29,Gulf Coast,4,0,4
2020-09-30,Gulf Coast,5,0,5
2020-10-01,Gulf Coast,8,0,8
2020-10-02,Gulf Coast,2,0,2
2020-10-03,Gulf Coast,3,0,3
2020-10-04,Gulf Coast,4,0,4
2020-10-05,Gulf Coast,10,1,11
2020-10-06,Gulf Coast,3,0,3
2020-10-07,Gulf Coast,12,0,12
2020-10-08,Gulf Coast,9,0,9
2020-10-09,Gulf Coast,14,1,15
2020-10-10,Gulf Coast,16,0,16
2020-10-11,Gulf Coast,2,0,2
2020-10-12,Gulf Coast,20,1,21
2020-10-13,Gulf Coast,5,0,5
2020-10-14,Gulf Coast,5,0,5
2020-10-15,Gulf Coast,12,0,12
2020-10-16,Gulf Coast,11,0,11
2020-10-17,Gulf Coast,16,0,16
2020-10-18,Gulf Coast,11,0,11
2020-10-19,Gulf Coast,21,0,21
2020-10-20,Gulf Coast,18,0,18
2020-10-21,Gulf Coast,16,0,16
2020-10-22,Gulf Coast,12,0,12
2020-10-23,Gulf Coast,20,0,20
2020-10-24,Gulf Coast,44,1,45
2020-10-25,Gulf Coast,36,0,36
2020-10-26,Gulf Coast,30,0,30
2020-10-27,Gulf Coast,32,0,32
2020-10-28,Gulf Coast,51,0,51
2020-10-29,Gulf Coast,43,2,45
2020-10-30,Gulf Coast,50,0,50
2020-10-31,Gulf Coast,39,0,39
2020-11-01,Gulf Coast,14,0,14
2020-11-02,Gulf Coast,25,0,25
2020-11-03,Gulf Coast,54,1,55
2020-11-04,Gulf Coast,21,0,21
2020-11-05,Gulf Coast,40,0,40
2020-11-06,Gulf Coast,62,0,62
2020-11-07,Gulf Coast,68,0,68
2020-11-08,Gulf Coast,28,0,28
2020-11-09,Gulf Coast,68,0,68
2020-11-10,Gulf Coast,69,1,70
2020-11-11,Gulf Coast,47,0,47
2020-11-12,Gulf Coast,95,0,95
2020-11-13,Gulf Coast,49,0,49
2020-11-14,Gulf Coast,68,0,68
2020-11-15,Gulf Coast,41,1,42
2020-11-16,Gulf Coast,48,0,48
2020-11-17,Gulf Coast,77,0,77
2020-11-18,Gulf Coast,86,1,87
2020-11-19,Gulf Coast,54,2,56
2020-11-20,Gulf Coast,98,0,98
2020-11-21,Gulf Coast,56,0,56
2020-11-22,Gulf Coast,35,0,35
2020-11-23,Gulf Coast,71,0,71
2020-11-24,Gulf Coast,74,0,74
2020-11-25,Gulf Coast,155,0,155
2020-11-26,Gulf Coast,98,0,98
2020-11-27,Gulf Coast,55,0,55
2020-11-28,Gulf Coast,41,2,43
2020-11-29,Gulf Coast,40,0,40
2020-11-30,Gulf Coast,69,1,70
2020-12-01,Gulf Coast,104,1,105
2020-12-02,Gulf Coast,131,1,132
2020-12-03,Gulf Coast,96,1,97
2020-12-04,Gulf Coast,98,1,99
2020-12-05,Gulf Coast,76,0,76
2020-12-06,Gulf Coast,69,0,69
2020-12-07,Gulf Coast,68,0,68
2020-12-08,Gulf Coast,79,0,79
2020-12-09,Gulf Coast,93,0,93
2020-12-10,Gulf Coast,78,0,78
2020-12-11,Gulf Coast,60,0,60
2020-12-12,Gulf Coast,82,1,83
2020-12-13,Gulf Coast,25,1,26
2020-12-14,Gulf Coast,36,0,36
2020-12-15,Gulf Coast,101,0,101
2020-12-16,Gulf Coast,34,1,35
2020-12-17,Gulf Coast,78,0,78
2020-12-18,Gulf Coast,35,1,36
2020-12-19,Gulf Coast,24,1,25
2020-12-20,Gulf Coast,11,1,12
2020-12-21,Gulf Coast,52,0,52
2020-12-22,Gulf Coast,39,0,39
2020-12-23,Gulf Coast,42,0,42
2020-12-24,Gulf Coast,33,0,33
2020-12-25,Gulf Coast,19,0,19
2020-12-26,Gulf Coast,26,0,26
2020-12-27,Gulf Coast,6,0,6
2020-12-28,Gulf Coast,17,0,17
2020-12-29,Gulf Coast,31,1,32
2020-12-30,Gulf Coast,17,0,17
2020-12-31,Gulf Coast,31,0,31
2021-01-01,Gulf Coast,30,0,30
2021-01-02,Gulf Coast,4,0,4
2021-01-03,Gulf Coast,17,0,17
2021-01-04,Gulf Coast,13,0,13
2021-01-05,Gulf Coast,26,1,27
2021-01-06,Gulf Coast,20,0,20
2021-01-07,Gulf Coast,31,2,33
2021-01-08,Gulf Coast,35,0,35
2021-01-09,Gulf Coast,19,0,19
2021-01-10,Gulf Coast,13,0,13
2021-01-11,Gulf Coast,11,0,11
2021-01-12,Gulf Coast,21,1,22
2021-01-13,Gulf Coast,22,0,22
2021-01-14,Gulf Coast,26,1,27
2021-01-15,Gulf Coast,15,0,15
2021-01-16,Gulf Coast,12,0,12
2021-01-17,Gulf Coast,18,0,18
2021-01-18,Gulf Coast,9,0,9
2021-01-19,Gulf Coast,13,1,14
2021-01-20,Gulf Coast,17,0,17
2021-01-21,Gulf Coast,12,1,13
2021-01-22,Gulf Coast,6,0,6
2021-01-23,Gulf Coast,7,0,7
2021-01-24,Gulf Coast,3,0,3
2021-01-25,Gulf Coast,4,0,4
2021-01-26,Gulf Coast,7,0,7
2021-01-27,Gulf Coast,10,0,10
2021-01-28,Gulf Coast,8,0,8
2021-01-29,Gulf Coast,10,0,10
2021-01-30,Gulf Coast,11,0,11
2021-01-31,Gulf Coast,5,0,5
2021-02-01,Gulf Coast,7,0,7
2021-02-02,Gulf Coast,12,1,13
2021-02-03,Gulf Coast,3,0,3
2021-02-04,Gulf Coast,4,0,4
2021-02-05,Gulf Coast,8,0,8
2021-02-06,Gulf Coast,10,0,10
2021-02-07,Gulf Coast,2,0,2
2021-02-08,Gulf Coast,3,0,3
2021-02-09,Gulf Coast,8,0,8
2021-02-10,Gulf Coast,2,0,2
2021-02-11,Gulf Coast,13,0,13
2021-02-12,Gulf Coast,4,0,4
2021-02-13,Gulf Coast,5,0,5
2021-02-14,Gulf Coast,7,1,8
2021-02-15,Gulf Coast,1,0,1
2021-02-16,Gulf Coast,3,0,3
2021-02-17,Gulf Coast,8,0,8
2021-02-18,Gulf Coast,8,0,8
2021-02-19,Gulf Coast,5,0,5
2021-02-20,Gulf Coast,3,0,3
2021-02-21,Gulf Coast,2,0,2
2021-02-22,Gulf Coast,6,0,6
2021-02-23,Gulf Coast,5,0,5
2021-02-24,Gulf Coast,12,0,12
2021-02-25,Gulf Coast,5,0,5
2020-03-16,Interior,2,0,2
2020-03-17,Interior,1,0,1
2020-03-18,Interior,0,0,0
2020-03-19,Interior,3,0,3
2020-03-20,Interior,0,0,0
2020-03-21,Interior,1,0,1
2020-03-22,Interior,0,0,0
2020-03-23,Interior,2,0,2
2020-03-24,Interior,0,0,0
2020-03-25,Interior,4,0,4
2020-03-26,Interior,4,0,4
2020-03-27,Interior,6,0,6
2020-03-28,Interior,2,0,2
2020-03-29,Interior,4,0,4
2020-03-30,Interior,7,0,7
2020-03-31,Interior,5,0,5
2020-04-01,Interior,3,0,3
